TotalChans=3
ModelNumber=HPHT
SerialNumber=E139
VersionNumber=900
CalibrationDate=08/08/2011
MaximumPressure=16000
LinearAdjustment=1.03
LinearOffset=1.0
CalibrationSampleRate=4
CurrentSampleRate=16
[Data]
POR, 44229.57987112, 16
 -2.5432,	  0.0000,	 26.7954,	
-2.4729, 0.0000, 26.8081,
-3.7913, 0.0000, 26.8631,
-5.4778, 0.0000, 27.1240,
-6.6858, 0.0000, 27.6003,
-7.4690, 0.0000, 28.2592,
-8.3147, 0.0000, 29.0888,
-9.1565, 0.0000, 30.0834,
-9.8157, 0.0000, 31.2294,
-10.3313, 0.0000, 32.5132,
-10.9622, 0.0000, 33.9122,
-11.4622, 0.0000, 35.4219,
-11.9837, 0.0000, 37.0271,
-12.2678, 0.0000, 38.7214,
-12.4573, 0.0000, 40.4884,
-12.1389, 0.0000, 42.2710,
-11.7454, 0.0000, 44.0480,
-11.4270, 0.0000, 45.8080,
-11.0940, 0.0000, 47.5403,
-10.7473, 0.0000, 49.2443,
-10.3596, 0.0000, 50.9156,
-10.0550, 0.0000, 52.5437,
-9.6829, 0.0000, 54.1286,
-9.2952, 0.0000, 55.6689,
-8.9573, 0.0000, 57.1661,
-8.5540, 0.0000, 58.6207,
-8.1643, 0.0000, 60.0320,
-7.9397, 0.0000, 61.3962,
-7.6419, 0.0000, 62.7128,
-7.3411, 0.0000, 63.9847,
-7.1077, 0.0000, 65.2185,
-6.7766, 0.0000, 66.4085,
-6.5471, 0.0000, 67.5570,
-6.2405, 0.0000, 68.6650,
-5.9885, 0.0000, 69.7323,
-5.7385, 0.0000, 70.7578,
-5.4358, 0.0000, 71.7474,
-5.1926, 0.0000, 72.6999,
-5.0159, 0.0000, 73.6164,
-4.8323, 0.0000, 74.5012,
-4.6790, 0.0000, 75.3529,
-4.4680, 0.0000, 76.1751,
-4.2434, 0.0000, 76.9619,
-4.0833, 0.0000, 77.7191,
-3.9622, 0.0000, 78.4478,
-3.7717, 0.0000, 79.1467,
-3.6116, 0.0000, 79.8194,
-3.4524, 0.0000, 80.4670,
-3.3225, 0.0000, 81.0904,
-3.1907, 0.0000, 81.6870,
-3.0423, 0.0000, 82.2617,
-2.9641, 0.0000, 82.8152,
-2.8274, 0.0000, 83.3462,
-2.7229, 0.0000, 83.8551,
-2.6341, 0.0000, 84.3464,
-2.5149, 0.0000, 84.8167,
-2.4104, 0.0000, 85.2672,
-2.3294, 0.0000, 85.7001,
-2.2356, 0.0000, 86.1164,
-2.1839, 0.0000, 86.5158,
-2.0891, 0.0000, 86.9005,
-2.0100, 0.0000, 87.2709,
-1.9212, 0.0000, 87.6257,
-1.8645, 0.0000, 87.9658,
-1.7952, 0.0000, 88.2936,
-1.7385, 0.0000, 88.6073,
-1.6467, 0.0000, 88.9085,
-1.5725, 0.0000, 89.1970,
-1.5393, 0.0000, 89.4763,
-1.4641, 0.0000, 89.7450,
-1.4397, 0.0000, 90.0035,
-1.3958, 0.0000, 90.2516,
-1.3372, 0.0000, 90.4902,
-1.2962, 0.0000, 90.7198,
-1.2503, 0.0000, 90.9405,
-1.1653, 0.0000, 91.1524,
-1.1497, 0.0000, 91.3557,
-1.1009, 0.0000, 91.5505,
-1.0530, 0.0000, 91.7376,
-1.0227, 0.0000, 91.9180,
-0.9876, 0.0000, 92.0905,
-0.9661, 0.0000, 92.2574,
-0.9251, 0.0000, 92.4185,
-0.8782, 0.0000, 92.5738,
-0.8509, 0.0000, 92.7217,
-0.8303, 0.0000, 92.8647,
-0.8147, 0.0000, 93.0025,
-0.7981, 0.0000, 93.1364,
-0.7503, 0.0000, 93.2654,
-0.7229, 0.0000, 93.3875,
-0.7063, 0.0000, 93.5065,
-0.6790, 0.0000, 93.6207,
-0.6634, 0.0000, 93.7310,
-0.6546, 0.0000, 93.8363,
-0.6370, 0.0000, 93.9383,
-0.6057, 0.0000, 94.0354,
-0.5930, 0.0000, 94.1297,
-0.5735, 0.0000, 94.2212,
-0.5344, 0.0000, 94.3094,
-0.5071, 0.0000, 94.3929,
-0.4954, 0.0000, 94.4727,
-0.5130, 0.0000, 94.5518,
-0.5042, 0.0000, 94.6280,
-0.4778, 0.0000, 94.7013,
-0.4524, 0.0000, 94.7726,
-0.4378, 0.0000, 94.8401,
-0.4505, 0.0000, 94.9066,
-0.4446, 0.0000, 94.9720,
-0.4241, 0.0000, 95.0332,
-0.4202, 0.0000, 95.0934,
-0.3811, 0.0000, 95.1509,
-0.3850, 0.0000, 95.2059,
-0.3792, 0.0000, 95.2597,
-0.3645, 0.0000, 95.3106,
-0.3567, 0.0000, 95.3602,
-0.3509, 0.0000, 95.4084,
-0.3430, 0.0000, 95.4547,
-0.3245, 0.0000, 95.5000,
-0.3294, 0.0000, 95.5432,
-0.3206, 0.0000, 95.5860,
-0.4651, 0.0000, 95.6276,
-2.4114, 0.0000, 95.7397,
-4.4934, 0.0000, 96.0222,
-5.9993, 0.0000, 96.4711,
-6.9397, 0.0000, 97.0629,
-7.5051, 0.0000, 97.7852,
-7.9553, 0.0000, 98.6272,
-7.9641, 0.0000, 99.5686,
-8.1594, 0.0000, 100.6008,
-7.6233, 0.0000, 101.7092,
-6.5374, 0.0000, 102.8581,
-5.1028, 0.0000, 104.0135,
-4.2132, 0.0000, 105.1685,
-3.2278, 0.0000, 106.3224,
-2.2678, 0.0000, 107.4662,
-1.2835, 0.0000, 108.5997,
-0.3626, 0.0000, 109.7183,
